07.05.2023,,,,,,
20:00,n/a,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,biecps,dumbbell curls,2,12,4,96
2,biecps,dumbbell curls,2,15,4,120
3,biecps,dumbbell curls,2,15,4,120
4,biecps,dumbbell curls,2,6,8,96
5,biecps,dumbbell curls,2,12,4,96
6,biecps,dumbbell curls,2,6,8,96
,,,,,,
08.05.2023,,,,,,
13:50,14:35,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,klatka,bench press,1,6,30,180
2,klatka,bench press,1,8,30,240
3,klatka,bench press,1,8,30,240
4,klatka,bench press,1,8,30,240
5,klatka,bench press,1,6,30,180
6,ramiona,latteral rises,1,6,8,48
7,ramiona,latteral rises,1,8,8,64
8,ramiona,latteral rises,1,8,8,64
,,,,,,
09.05.2023,,,,,,
17:00,n/a,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,plecy,dumbbell rows,2,10,18,360
1,ramiona,overhead rises,1,8,8,64
2,plecy,dumbbell rows,2,10,18,360
2,ramiona,overhead rises,1,10,8,80
3,plecy,dumbbell rows,2,10,18,360
3,ramiona,overhead rises,1,12,8,96
3,przedramiona,curls palm up,2,12,4,96
4,plecy,dumbbell rows,2,6,18,216
4,ramiona,overhead rises,1,15,8,120
4,przedramiona,curls palm up,2,12,4,96
,,,,,,
,,,,,,
15.05.2023,,,,,,
13:40,14:20,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,biecps,dumbbell curls,2,6,8,96
1,biecps,hammer curls,2,8,4,64
1,tricpes,one hand overhead extensions,2,6,4,48
2,biecps,dumbbell curls,2,8,8,128
2,biecps,hammer curls,2,8,4,64
2,tricpes,one hand overhead extensions,2,6,4,48
3,biecps,dumbbell curls,2,6,8,96
3,biecps,hammer curls,2,8,4,64
3,tricpes,one hand overhead extensions,2,8,4,64
4,biecps,dumbbell curls,2,8,8,128
4,biecps,hammer curls,2,8,4,64
4,tricpes,one hand overhead extensions,2,8,4,64
5,biecps,dumbbell curls,2,6,8,96
5,biecps,hammer curls,2,6,4,48
5,tricpes,one hand overhead extensions,2,8,4,64
6,biecps,dumbbell curls,2,6,8,96
6,biecps,hammer curls,2,6,4,48
6,tricpes,one hand overhead extensions,2,6,4,48
,,,,,,
16.05.2023,,,,,,
17:45,18:22,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,klatka,bench press,1,10,30,300
1,nogi,bw squads,1,10,0,0
2,klatka,bench press,1,10,30,300
2,nogi,bw squads,1,10,0,0
3,klatka,bench press,1,12,30,360
3,nogi,bw squads,1,10,0,0
4,klatka,bench press,1,10,30,300
4,nogi,bw squads,1,12,0,0
4,przedramiona,curls palm up,2,15,4,120
,,,,,,
17.05.2023,,,,,,
19:00,n/a,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,przedramiona,curls palm up,2,20,4,160
2,przedramiona,curls palm up,2,10,8,160
2,przedramiona,curls palm up,2,10,4,80
3,przedramiona,curls palm up,2,10,8,160
3,przedramiona,curls palm up,2,12,4,96
4,przedramiona,curls palm up,2,15,4,120
5,przedramiona,curls palm up,2,10,8,160
5,przedramiona,curls palm up,2,10,4,80
,,,,,,
18.05.2023,,,,,,
20:05,21:00,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,plecy,dumbbell rows,2,8,18,288
1,ramiona,overhead rises,1,6,8,48
1,ramiona,latteral rises,1,4,8,32
1,ramiona,latteral raises,1,4,8,32
2,plecy,dumbbell rows,2,12,18,432
2,ramiona,overhead rises,1,12,8,96
2,ramiona,latteral rises,1,4,8,32
2,ramiona,latteral raises,1,4,8,32
3,plecy,dumbbell rows,2,12,18,432
3,ramiona,overhead rises,1,12,8,96
3,ramiona,latteral rises,1,4,8,32
4,plecy,dumbbell rows,2,12,18,432
4,ramiona,overhead rises,1,12,8,96
5,plecy,dumbbell rows,2,12,18,432
5,ramiona,overhead rises,1,12,8,96
6,plecy,dumbbell rows,2,10,20,400
6,ramiona,overhead rises,1,12,8,96
,,,,,,
,,,,,,
19.05.2023,,,,,,
20:15,21,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,biecps,dumbbell curls,2,8,6,96
1,biecps,hammer curls,2,6,6,72
2,biecps,dumbbell curls,2,6,10,120
2,biecps,hammer curls,2,6,6,72
3,biecps,dumbbell curls,2,6,10,120
3,biecps,dumbbell curls,2,6,6,72
3,tricpes,one hand overhead extensions,2,6,6,72
4,biecps,dumbbell curls,2,6,10,120
4,biecps,dumbbell curls,2,6,6,72
4,tricpes,one hand overhead extensions,2,10,6,120
5,biecps,dumbbell curls,2,6,10,120
5,biecps,dumbbell curls,2,6,6,72
5,tricpes,one hand overhead extensions,2,10,6,120
6,biecps,dumbbell curls,2,6,6,72
6,biecps,dumbbell curls,2,6,6,72
6,tricpes,one hand overhead extensions,2,8,6,96
7,biecps,dumbbell curls,2,6,10,120
7,tricpes,one hand overhead extensions,2,6,6,72
,,,,,,
,,,,,,
21.05.2023,,,,,,
13:50,14:45,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,klatka,bench press,1,6,40,240
2,klatka,bench press,1,6,40,240
3,klatka,bench press,1,6,40,240
4,klatka,bench press,1,6,40,240
5,klatka,butterflies,1,8,12,96
6,klatka,butterflies,1,8,12,96
7,klatka,butterflies,1,10,12,120
8,klatka,butterflies,1,10,12,120
,,,,,,
,,,,,,
23.05.2023,,,,,,
19:05,19:50,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,all,deadlift,1,8,40,320
2,all,deadlift,1,7,40,280
3,all,deadlift,1,5,40,200
4,all,deadlift,1,6,60,360
5,all,deadlift,1,8,40,320
,,,,,,
,,,,,,
24.05.2023,,,,,,
14:55,,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,biecps,dumbbell curls,2,6,6,72
1,tricpes,one hand overhead extensions,2,6,6,72
2,biecps,dumbbell curls,2,6,10,120
2,tricpes,one hand overhead extensions,2,6,6,72
3,biecps,dumbbell curls,2,6,10,120
3,tricpes,one hand overhead extensions,2,6,6,72
4,biecps,dumbbell curls,2,8,10,160
4,tricpes,one hand overhead extensions,2,8,6,96
5,biecps,dumbbell curls,2,8,10,160
5,tricpes,one hand overhead extensions,2,6,6,72
6,biecps,dumbbell curls,2,6,10,120
6,tricpes,one hand overhead extensions,2,6,6,72
7,biecps,dumbbell curls,2,6,11,132
7,tricpes,one hand overhead extensions,2,6,6,72
8,biecps,dumbbell curls,2,6,12,144
8,tricpes,one hand overhead extensions,2,6,6,72
9,biecps,dumbbell curls,2,4,12,96
,,,,,,
,,,,,,
27.05.2023,,,,,,
13:00,,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,klatka,bench press,1,6,40,240
2,klatka,bench press,1,8,40,320
3,klatka,bench press,1,8,40,320
4,klatka,bench press,1,6,40,240
5,plecy,dumbbell rows,2,8,20,320
6,plecy,dumbbell rows,2,10,22,440
7,plecy,dumbbell rows,2,8,24,384
8,klatka,bench press,1,6,40,240
9,klatka,bench press,1,6,40,240
9,plecy,dumbbell rows,2,8,24,384
10,klatka,bench press,1,6,40,240
10,plecy,dumbbell rows,2,8,24,384
11,klatka,bench press,1,0,46,0
,,,,,,
,,,,,,
28.05.2023,,,,,,
13:20,,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,all,deadlift,1,10,46,460
2,all,deadlift,1,10,46,460
3,all,deadlift,1,6,60,360
4,all,deadlift,1,6,66,396
5,all,deadlift,1,0,68,0
,,,,,,
,,,,,,
29.05.2023,,,,,,
15:30,n / a,,,,,
seria,grupa,cwiczenie,x,pow,kg,total
1,biecps,dumbbell curls,2,10,10,200
1,biecps,hammer curls,2,6,8,96
1,tricpes,one hand overhead extensions,2,6,8,96
1,ramiona,overhead rises,1,10,8,80
1,ramiona,latteral rises,1,4,8,32
2,biecps,dumbbell curls,2,12,10,240
2,biecps,hammer curls,2,6,6,72
2,tricpes,one hand overhead extensions,2,10,6,120
2,ramiona,overhead rises,1,10,8,80
2,ramiona,latteral rises,1,4,8,32
3,biecps,dumbbell curls,2,10,10,200
3,biecps,hammer curls,2,5,6,60
3,tricpes,one hand overhead extensions,2,6,6,72
3,ramiona,overhead rises,1,10,8,80
3,ramiona,latteral rises,1,3,8,24
4,biecps,dumbbell curls,2,8,10,160
4,biecps,hammer curls,2,8,4,64
4,tricpes,one hand overhead extensions,2,8,6,96
4,ramiona,overhead rises,1,8,8,64
4,ramiona,latteral rises,1,3,8,24
5,biecps,dumbbell curls,2,6,10,120
5,tricpes,one hand overhead extensions,2,6,6,72
5,ramiona,latteral rises,1,10,4,40
6,biecps,dumbbell curls,2,5,12,120
6,tricpes,one hand overhead extensions,2,8,6,96
6,ramiona,latteral rises,1,10,4,40
7,biecps,dumbbell curls,2,5,12,120
